State,County,NSN,Item Name,Quantity,UI,Acquisition Cost,Ship Date
NC,BEAUFORT                 ,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,12/31/2013
NC,BEAUFORT                 ,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,12/31/2013
NC,BEAUFORT                 ,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,12/31/2013
NC,BEAUFORT                 ,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,12/31/2013
NC,BEAUFORT                 ,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,12/31/2013
NC,BEAUFORT                 ,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,12/31/2013
NC,BEAUFORT                 ,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,12/31/2013
NC,BEAUFORT                 ,1670-01-062-6302,"LINE,MULTI-LOOP",2,Each,66.65,03/26/2014
NC,BEAUFORT                 ,1670-01-062-6302,"LINE,MULTI-LOOP",10,Each,66.65,03/26/2014
NC,BEAUFORT                 ,1670-01-330-3279,"CANOPY,PERSONNEL PARACHUTE",2,Each,1961.16,03/26/2014
NC,BEAUFORT                 ,2320-01-107-7155,"TRUCK,UTILITY",1,Each,25000,10/10/2007
NC,BEAUFORT                 ,5120-01-374-1928,"WRENCH,TORQUE",1,Each,131.35,03/25/2014
NC,BEAUFORT                 ,5180-00-606-3566,"TOOL KIT,GENERAL MECHANIC'S",3,Kit,1190.44,10/23/2013
NC,BEAUFORT                 ,5836-DS-REC-EIV0,"RECEIVER, COMMUNICATION EQUIPMENT",4,Each,0,10/23/2013
NC,BEAUFORT                 ,5836-DS-REC-EIV0,"RECEIVER, COMMUNICATION EQUIPMENT",1,Each,0,10/23/2013
NC,BEAUFORT                 ,8105-DS-BAG-0001,BAGS AND SACKS,12,Each,0,04/03/2014
NC,BEAUFORT                 ,8405-01-545-8153,"LINER,WET WEATHER PONCHO",12,Each,37.42,03/25/2014
NC,BEAUFORT                 ,8465-01-416-8517,BIVY COVER,12,Each,152.84,03/25/2014
NC,BEAUFORT                 ,,"SIGHT,REFLEX",1,Each,328,12/31/2013 18:37:57
NC,BEAUFORT                 ,,"SIGHT,REFLEX",1,Each,328,12/31/2013 18:37:57
NC,BEAUFORT                 ,,"SIGHT,REFLEX",1,Each,328,12/31/2013 18:37:57
NC,BEAUFORT                 ,,"SIGHT,REFLEX",1,Each,328,12/31/2013 18:37:57
NC,BEAUFORT                 ,,"SIGHT,REFLEX",1,Each,328,12/31/2013 18:37:57
NC,BEAUFORT                 ,,"SIGHT,REFLEX",1,Each,328,12/31/2013 18:37:58
NC,BEAUFORT                 ,,"SIGHT,REFLEX",1,Each,328,12/31/2013 18:37:58
NC,BEAUFORT                 ,,"SIGHT,REFLEX",1,Each,328,12/31/2013 18:37:58
NC,BERTIE                   ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,12/08/2006
NC,BERTIE                   ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
