full_name,count,sum
Weapons Maintenance and Repair Shop Specialized Equipment,71,448142.95
Weapons Systems Specific Vehicular Accessories,38,90554.25
Welding Positioners and Manipulators,5,3020.0
"Winches, Hoists, Cranes, and Derricks",172,907678.51
"Wire and Cable, Electrical",231,145821.61
Wire and Metal Ribbon Forming Machines,1,0.0
"Wire, Nonelectrical",11,2970.76
"Wire, Nonelectrical, Nonferrous Base Metal",1,383.25
Woodworking Machines,65,99738.80
Wrapping and Packaging Machinery,22,16231.94
"X-Ray Equipment and Supplies: Medical, Dental, Veterinary",23,479006.98
Yard and Thread,9,261.53
,9,76056.20
