agency_name,state,agency_type
CALHOUN CO SHERIFF DEPT,AL,sheriff_dept
CALIFORNIA CITY POLICE DEPT,CA,local_police
CAMBRIDGE POLICE DEPT,MD,local_police
CAMDEN POLICE DEPT,ME,local_police
CAMPBELL COUNTY SHERIFF'S OFFICE,WY,sheriff_dept
CAMPBELL POLICE DEPT,CA,local_police
CAMPBELLSVILLE POLICE DEPT,KY,local_police
CANADIAN CTY SHERIFF DEPT,OK,sheriff_dept
CANEY POLICE DEPT,TX,local_police
CANNON COUNTY SHERIFF DEPT,TN,sheriff_dept
CANON CITY POLICE DEPARTMENT,CO,local_police
CANON POLICE DEPT,GA,local_police
CANTON POLICE DEPT,OH,local_police
CANYON COUNTY SHERIFF OFFICE,ID,sheriff_dept
CAPE MAY COUNTY PROSECUTOR,NJ,prosecutor
CAPITOL HEIGHTS POLICE DEPT,MD,local_police
CARBONDALE POLICE DEPT,PA,local_police
CARDINGTON POLICE DEPT,OH,local_police
CARIBOU POLICE DEPT,ME,local_police
CARLISLE COUNTY SHERIFF DEPT,KY,sheriff_dept
CARLISLE POLICE DEPT,PA,local_police
CARMEL POLICE DEPT,IN,local_police
CAROLINA MUNICIPAL POLICE DEPT,PR,local_police
CARROLL COUNTY SHERIFF DEPT,GA,sheriff_dept
CARROLL COUNTY SHERIFF DEPT,TN,sheriff_dept
CARROLL COUNTY SHERIFF DEPT,NH,sheriff_dept
CARROLL POLICE DEPT,NH,local_police
CARROLL POLICE DEPT,OH,local_police
CARROLL TOWNSHIP POLICE DEPT,PA,local_police
CARROLLTON POLICE DEPT,GA,local_police
CARROLLTON POLICE DEPT,OH,local_police
CARROLLTON POLICE DEPT,AL,local_police
CARSON CITY SHERIFF DEPT,NV,sheriff_dept
CASEY COUNTY SHERIFF DEPT,KY,sheriff_dept
CATRON COUNTY SHERIFF DEPT,NM,sheriff_dept
CAVE-IN-ROCK POLICE DEPT,IL,local_police
CECIL COUNTY SHERIFF'S OFFICE,MD,sheriff_dept
CEDAR BLUFF POLICE DEPARTMENT,VA,local_police
CEDAR BLUFF POLICE DEPT,AL,local_police
CEIBA POLICE DEPT,PR,local_police
CENTERVILLE POLICE DEPT,OH,local_police
CENTERVILLE POLICE DEPT,TN,local_police
CENTRAL MARIN POLICE AUTHORITY,CA,local_police
CENTRALIA POLICE DEPT,WA,local_police
CENTRE POLICE DEPT,AL,local_police
CERES POLICE DEPT,CA,local_police
CHAMBERS COUNTY SHERIFF DEPT,AL,sheriff_dept
CHAMBLEE POLICE DEPT,GA,local_police
CHARLES COUNTY SHERIFFS  OFFICE,MD,sheriff_dept
CHARLESTON POLICE DEPT,WV,local_police
CHARLESTOWN POLICE DEPT,IN,local_police
CHATHAM POLICE DEPT,IL,local_police
CHATTAHOOCHEE HILLS POLICE DEPT,GA,local_police
CHAVES COUNTY SHERIFF OFFICE,NM,sheriff_dept
CHELAN COUNTY SHERIFF DEPT,WA,sheriff_dept
CHEROKEE COUNTY NARCOTICS,AL,narcotics
CHEROKEE COUNTY SHERIFF DEPT,NC,sheriff_dept
